"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"52",110.678720121538,-0.167359556971637,0.0385011666353434,-4.3468697599933,1.38094160917498e-05,0.00084237438159674
"41",88.5210788536109,0.0810352233485699,0.0220930421218261,3.66790697730639,0.000244544115593038,0.00745859552558766
"15",69.6018554884217,0.0829513185827962,0.0244760531277883,3.38908067202304,0.000701273758233617,0.0142592330840835
"4",143.581480119107,0.112631302913321,0.0368902994760836,3.05314146301092,0.0022645915554521,0.030170785414246
"26",117.562745575718,0.146700472151761,0.0484700052933388,3.02662381124027,0.00247301519788901,0.030170785414246
"18",145.3041557538,0.0970766333569838,0.0340511737430311,2.85090417409918,0.00435951055579849,0.044321690650618
"49",129.845505438244,-0.0723951234878859,0.026486063925606,-2.73332888160465,0.00626976927151253,0.0478069906952831
"59",11.7333892771866,0.134719888231184,0.0489635228168178,2.75143373027299,0.00593350238439005,0.0478069906952831
"9",117.554352347782,0.0827993828752603,0.0310794384697017,2.66412094143781,0.00771898056128784,0.0523175349153954
"30",147.656090619383,0.05671778854689,0.0230452782510855,2.46114574660075,0.0138494092594911,0.0844813964828957
"46",95.8441447239754,0.0483531331787672,0.0203477935860629,2.37633299031922,0.01748567499568,0.0969660158851345
