"","x"
"1","REACTOME_STRIATED_MUSCLE_CONTRACTION"
"2","REACTOME_CD22_MEDIATED_BCR_REGULATION"
"3","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"
"4","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT"
"5","REACTOME_FCGR_ACTIVATION"
"6","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS"
"7","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION"
"8","REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"
"9","REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION"
"10","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL"
"11","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"12","REACTOME_SIGNALING_BY_GPCR"
"13","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"14","REACTOME_DISEASES_OF_METABOLISM"
"15","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"16","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"17","REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION"
"18","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"19","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"20","REACTOME_INNATE_IMMUNE_SYSTEM"
"21","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"22","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"23","REACTOME_MEMBRANE_TRAFFICKING"
"24","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"25","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"26","REACTOME_AUTOPHAGY"
"27","REACTOME_PROGRAMMED_CELL_DEATH"
"28","REACTOME_RAC3_GTPASE_CYCLE"
"29","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
"30","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"31","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"32","REACTOME_TRANSLATION"
"33","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"34","REACTOME_BIOLOGICAL_OXIDATIONS"
"35","REACTOME_METABOLISM_OF_STEROIDS"
"36","REACTOME_METABOLISM_OF_LIPIDS"
"37","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"38","REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES"
"39","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"40","REACTOME_TP53_REGULATES_METABOLIC_GENES"
"41","REACTOME_MITOCHONDRIAL_TRANSLATION"
"42","REACTOME_NEGATIVE_REGULATION_OF_MAPK_PATHWAY"
"43","REACTOME_RHOQ_GTPASE_CYCLE"
"44","REACTOME_HIV_INFECTION"
"45","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE"
"46","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"47","REACTOME_SIGNALING_BY_INTERLEUKINS"
"48","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"49","REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS"
"50","REACTOME_PROTEIN_LOCALIZATION"
"51","REACTOME_CHOLESTEROL_BIOSYNTHESIS"
"52","REACTOME_INTERLEUKIN_10_SIGNALING"
"53","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"54","REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS"
"55","REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA"
"56","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS"
"57","REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS"
"58","REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX"
"59","REACTOME_METABOLISM_OF_POLYAMINES"
"60","REACTOME_EPH_EPHRIN_SIGNALING"
"61","REACTOME_NEUTROPHIL_DEGRANULATION"
"62","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"63","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"64","REACTOME_CRISTAE_FORMATION"
"65","REACTOME_INTERLEUKIN_1_SIGNALING"
"66","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"67","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"68","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"69","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
