"","x"
"1","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3"
"2","REACTOME_CD22_MEDIATED_BCR_REGULATION"
"3","REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION"
"4","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION"
"5","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION"
"6","REACTOME_FCGR_ACTIVATION"
"7","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL"
"8","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT"
"9","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"
"10","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS"
"11","REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"
"12","REACTOME_STRIATED_MUSCLE_CONTRACTION"
